game_id,game_date,season,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,epa_mean,epa_sum,cpoe_mean,success_mean,complete_pass_sum,incomplete_pass_sum,interception_sum,pass_touchdown_sum,sack_sum,yards_gained_sum,air_yards_mean,air_yards_sum,yards_after_catch_sum,qb_hit_sum,qb_scramble_sum,pass_attempt_sum,attempts,completions,completion_pct,yards_per_attempt,air_yards_per_attempt,epa_per_play,success_rate,td_rate,int_rate,sack_rate,qb_epa_context_impact,cpoe_context_impact,success_context_impact,epa_per_play_ctx_adj,success_rate_ctx_adj,base_epa,opp_adj_epa,opp_adj_cpoe,opp_adj_success_rate,defense_quality,opp_adj_base_epa,opp_adj_base_epa_kalman,leaf_rating,opp_adj_base_epa_uncertainty,game_number
2016_05_NE_CLE,2016-10-09,2016,5,00-0019596,T.Brady,NE,CLE,0.5928333,24.306164,41,0.5928333,24.306164,4.9321504,0.4878049,28.0,12.0,0.0,3.0,1.0,403.0,7.975,319.0,185.0,3.0,0.0,41.0,41.0,28.0,0.68292683,9.829268,7.780488,0.5928333,0.4878049,0.07317073,0.0,0.024390243,0.08578141374743997,0.45461724363890726,0.4489158320228309,0.5070518668159145,0.03888905765612416,0.5070518668159145,0.6301347113130703,3.1901114020945305,0.04853865845497596,0.037301430749715814,0.5443532975656303,0.4929386482147055,-0.0023412799681835385,0.21731415336727294,1
2016_06_CIN_NE,2016-10-16,2016,6,00-0019596,T.Brady,NE,CIN,0.49074313,18.64824,38,0.49074313,18.64824,18.087645,0.5263158,29.0,6.0,0.0,3.0,3.0,358.0,5.9714284,209.0,200.0,8.0,0.0,38.0,38.0,29.0,0.7631579,9.421053,5.5,0.49074313,0.5263158,0.078947365,0.0,0.078947365,0.051615757265292925,0.9431721193206974,0.4478735689963261,0.4391273731801874,0.07844223929987754,0.4391273731801874,0.2704184067469062,16.22821594757747,0.025744505097798354,-0.22032472369857412,0.21880264948161326,0.3620469448630313,-0.0023412799681835385,0.15779928509789218,2
2016_07_NE_PIT,2016-10-23,2016,7,00-0019596,T.Brady,NE,PIT,0.53617454,13.940538,26,0.33251593,8.645414,5.2551603,0.5769231,19.0,7.0,0.0,2.0,0.0,222.0,6.576923,171.0,101.0,4.0,0.0,26.0,26.0,19.0,0.7307692,8.538462,6.576923,0.53617454,0.5769231,0.07692308,0.0,0.0,0.06218393879249828,1.0489022348558479,0.4466809866648362,0.4739905969588445,0.13024208567326806,0.4739905969588445,0.4855101421432641,3.391831570756512,0.10607371651292924,-0.05066439360807867,0.4233262033507658,0.3820797743200301,-0.0023412799681835385,0.13057090148817083,3
2016_08_NE_BUF,2016-10-30,2016,8,00-0019596,T.Brady,NE,BUF,0.57546675,21.29227,37,0.57546675,21.29227,5.036461,0.4864865,22.0,11.0,0.0,4.0,4.0,293.0,10.0,330.0,150.0,8.0,0.0,37.0,37.0,22.0,0.5945946,7.918919,8.918919,0.57546675,0.4864865,0.10810811,0.0,0.10810811,0.027256482503484777,-1.7046335078201529,0.41968297631014717,0.5482102695488223,0.06680351823102104,0.5482102695488223,0.5957656711178452,3.6092841508389037,0.05302887077083429,0.020298919065538018,0.5685091886143604,0.4288749583939383,-0.0023412799681835385,0.11441299881625742,4
2016_10_SEA_NE,2016-11-13,2016,10,00-0019596,T.Brady,NE,SEA,0.37558243,12.769802,34,0.22209628,7.5512733,8.051598,0.5294118,23.0,8.0,1.0,0.0,2.0,304.0,11.0,352.0,149.0,3.0,0.0,34.0,34.0,23.0,0.6764706,8.941176,10.3529415,0.37558243,0.5294118,0.0,0.029411765,0.05882353,0.030200466836725476,0.8115924277396166,0.45499936956751097,0.3453819599496972,0.07441242318761598,0.3453819599496972,0.3630280027835885,7.473117878919629,0.08254291846931966,-0.012554424002834267,0.332827535946863,0.40910262750424126,-0.0023412799681835385,0.10361391509810373,5
2016_11_NE_SF,2016-11-20,2016,11,00-0019596,T.Brady,NE,SF,0.21043433,8.627808,41,0.21043433,8.627808,0.74429095,0.4390244,24.0,16.0,0.0,4.0,1.0,273.0,8.025,321.0,183.0,3.0,0.0,41.0,41.0,24.0,0.58536583,6.6585364,7.8292685,0.21043433,0.4390244,0.09756097,0.0,0.024390243,0.015164219231571513,-0.9809177598711905,0.4187803187196609,0.19527011325839583,0.02024407007046969,0.19527011325839583,0.15449915168264713,-0.9667237971380216,-0.029682375954183937,-0.05593518080732021,0.13933493245107562,0.3615348422809161,-0.0023412799681835385,0.09589445632298178,6
2016_12_NE_NYJ,2016-11-27,2016,12,00-0019596,T.Brady,NE,NYJ,0.10597137,5.40454,51,0.10597137,5.40454,-5.688354,0.47058824,30.0,20.0,0.0,2.0,0.0,286.0,6.72,336.0,141.0,4.0,0.0,51.0,51.0,30.0,0.5882353,5.607843,6.5882354,0.10597137,0.47058824,0.039215688,0.0,0.0,0.06374627885433069,0.7572065345250658,0.45567430095583245,0.042225094763318385,0.01491393609136299,0.042225094763318385,-0.0010444876576341106,-4.933464783713509,0.04634540669056675,-0.10701586127528319,-0.0647907665119648,0.29511583131761676,-0.0023412799681835385,0.09013791292559373,7
2016_13_LA_NE,2016-12-04,2016,13,00-0019596,T.Brady,NE,LA,0.01961975,0.9025085,46,0.01961975,0.9025085,4.000595,0.47826087,33.0,13.0,0.0,1.0,0.0,269.0,6.021739,277.0,107.0,5.0,0.0,46.0,46.0,33.0,0.7173913,5.847826,6.021739,0.01961975,0.47826087,0.02173913,0.0,0.0,0.10684705152475084,1.2197743560662424,0.4647341393251078,-0.08722730166577543,0.01352673542312216,-0.08722730166577543,0.045095608354007596,5.466146955504714,0.036691666895350306,0.02547585849503219,-0.06175144317074324,0.24483278862951102,-0.0023412799681835385,0.08572143233534237,8
2016_14_BAL_NE,2016-12-12,2016,14,00-0019596,T.Brady,NE,BAL,0.3344903,13.045122,39,0.3344903,13.045122,5.74886,0.4871795,25.0,12.0,1.0,3.0,1.0,401.0,8.842105,336.0,207.0,7.0,0.0,39.0,39.0,25.0,0.64102566,10.282051,8.615385,0.3344903,0.4871795,0.07692308,0.025641026,0.025641026,0.07564809703991408,0.8100125216862393,0.45334738781493555,0.2588422021849394,0.03383210012871374,0.2588422021849394,0.2881343086159648,2.7199544131816844,0.03907562102582601,-0.04635599060888873,0.2124862115760507,0.2406352667483543,-0.0023412799681835385,0.08226485296034504,9
2016_15_NE_DEN,2016-12-18,2016,15,00-0019596,T.Brady,NE,DEN,-0.01009648,-0.34328032,34,-0.01009648,-0.34328032,-12.192588,0.44117647,16.0,16.0,0.0,0.0,2.0,177.0,7.25,232.0,73.0,5.0,0.0,34.0,34.0,16.0,0.47058824,5.2058825,6.8235292,-0.01009648,0.44117647,0.0,0.0,0.05882353,0.011331903675356065,-1.6924326437934873,0.43133877482450816,-0.02142838381395594,0.009837699269882705,-0.02142838381395594,0.021557047018461298,-9.39896264717043,0.049761985836213884,0.03165352715706117,0.01022514334310523,0.21269742261732236,-0.0023412799681835385,0.07952023835529896,10
2016_16_NYJ_NE,2016-12-24,2016,16,00-0019596,T.Brady,NE,NYJ,0.44392613,12.429932,28,0.44392613,12.429932,7.469494,0.53571427,17.0,10.0,0.0,3.0,1.0,205.0,11.518518,311.0,40.0,2.0,0.0,28.0,28.0,17.0,0.60714287,7.321429,11.107142,0.44392613,0.53571427,0.10714286,0.0,0.035714287,0.021789857546279736,-1.4175885199021108,0.417999667249676,0.4221362682185671,0.11771460143471119,0.4221362682185671,0.3369102644895636,8.22438309760363,0.11147143832775852,-0.10701586127528319,0.3151204069432839,0.22443799439482237,-0.0023412799681835385,0.07731752037849048,11
2016_17_NE_MIA,2017-01-01,2016,17,00-0019596,T.Brady,NE,MIA,0.48173052,16.378838,34,0.48173052,16.378838,6.2907333,0.61764705,25.0,8.0,0.0,3.0,0.0,278.0,4.818182,159.0,208.0,1.0,0.0,34.0,34.0,25.0,0.7352941,8.176471,4.6764708,0.48173052,0.61764705,0.0882353,0.0,0.0,0.10520983280363316,1.467751671528484,0.45915962004912864,0.3765206879216171,0.15848743176208963,0.3765206879216171,0.3495671939986286,2.4767987862161744,0.12850773564901735,-0.13216332672662162,0.24435736119499546,0.22661727101344992,-0.0023412799681835385,0.07553538056568072,12
2016_19_HOU_NE,2017-01-14,2016,19,00-0019596,T.Brady,NE,HOU,-0.0033927471,-0.13570988,40,-0.0033927471,-0.13570988,-7.144963,0.375,18.0,18.0,2.0,2.0,2.0,279.0,12.578947,478.0,81.0,8.0,0.0,40.0,40.0,18.0,0.45,6.975,11.95,-0.0033927471,0.375,0.05,0.05,0.05,0.0759711479173924,0.8264451268522404,0.45639550514945126,-0.07936389505508795,-0.08139550514945126,-0.07936389505508795,0.1241596175255095,-2.5488663379594625,-0.0016496448371579042,0.12755236466320505,0.048188469608117096,0.20783896375358615,-0.0023412799681835385,0.07408456715104679,13
2016_20_PIT_NE,2017-01-22,2016,20,00-0019596,T.Brady,NE,PIT,0.4004687,17.620623,44,0.4004687,17.620623,9.426485,0.54545456,32.0,10.0,0.0,3.0,2.0,374.0,5.714286,240.0,190.0,3.0,0.0,44.0,44.0,32.0,0.72727275,8.5,5.4545455,0.4004687,0.54545456,0.06818182,0.0,0.045454547,0.09449839238839339,1.226055932871626,0.4598818593800194,0.30597031469626235,0.08557270233033826,0.30597031469626235,0.3498043134765771,7.563156300675946,0.07460520588518266,-0.05066439360807867,0.2553059210881837,0.2126757420341518,-0.0023412799681835385,0.07289779620196266,14
2016_21_NE_ATL,2017-02-05,2016,21,00-0019596,T.Brady,NE,ATL,0.14684491,9.985454,68,0.14684491,9.985454,4.6651754,0.5147059,43.0,18.0,1.0,2.0,5.0,444.0,9.112904,565.0,157.0,9.0,0.0,68.0,68.0,43.0,0.63235295,6.529412,8.308824,0.14684491,0.5147059,0.029411765,0.014705882,0.073529415,0.023665330900144155,-0.7962772360906423,0.4615840801176375,0.12317957769494099,0.05312181625992596,0.12317957769494099,0.11171832818479531,4.402669246711963,0.06836288503057275,-0.035126580410289834,0.08805299728465116,0.2003141870759879,-0.0023412799681835385,0.0719233491493101,15
2017_01_KC_NE,2017-09-07,2017,1,00-0019596,T.Brady,NE,KC,0.04497184,1.7539017,39,0.04497184,1.7539017,-9.088984,0.33333334,16.0,20.0,0.0,0.0,3.0,247.0,15.75,567.0,112.0,6.0,0.0,39.0,39.0,16.0,0.41025642,6.3333335,14.538462,0.04497184,0.33333334,0.0,0.0,0.07692308,0.06911675759778237,1.9442227121049798,0.4676788013993044,-0.024144919004299395,-0.1343454581318636,-0.024144919004299395,0.06936063884755718,-12.558391278327164,-0.11671341249377098,0.024388800254074205,0.0002438812497748133,0.18090923829296404,-0.0023412799681835385,0.07112085005721293,16
2017_02_NE_NO,2017-09-17,2017,2,00-0019596,T.Brady,NE,NO,0.6119435,25.089684,41,0.6119435,25.089684,9.46313,0.58536583,30.0,9.0,0.0,3.0,2.0,436.0,7.205128,281.0,237.0,5.0,0.0,41.0,41.0,30.0,0.73170733,10.634147,6.8536587,0.6119435,0.58536583,0.07317073,0.0,0.048780486,0.12902812669400823,0.08066435773676184,0.468027967768674,0.48291535665865293,0.11733786408328523,0.48291535665865293,0.5665609374699364,9.364278807333159,0.11834674866310962,-0.045382545882724716,0.4375328107759282,0.20533779937256164,-0.0023412799681835385,0.07045838369827885,17
2017_03_HOU_NE,2017-09-24,2017,3,00-0019596,T.Brady,NE,HOU,0.28231367,11.574861,41,0.28231367,11.574861,12.837833,0.4878049,25.0,10.0,0.0,5.0,5.0,339.0,11.857142,415.0,107.0,8.0,0.0,41.0,41.0,25.0,0.6097561,8.268292,10.121951,0.28231367,0.4878049,0.12195122,0.0,0.12195122,0.06747183576757251,2.2183440565404493,0.4611086059824975,0.21484183892076672,0.0266962836964576,0.21484183892076672,0.4098660393515443,17.433929854209726,0.11115524484179717,0.12755236466320505,0.34239420358397177,0.21818237492423279,-0.0023412799681835385,0.06991046944863212,18
2017_04_CAR_NE,2017-10-01,2017,4,00-0019596,T.Brady,NE,CAR,0.20330268,9.758529,48,0.20330268,9.758529,5.153274,0.5625,32.0,13.0,0.0,2.0,3.0,293.0,7.577778,341.0,132.0,7.0,0.0,48.0,48.0,32.0,0.6666667,6.1041665,7.1041665,0.20330268,0.5625,0.041666668,0.0,0.0625,0.06583384076394727,1.773845902970675,0.47878781560503486,0.13746884068212817,0.08371218439496514,0.13746884068212817,0.10351819926334628,3.551615305390751,0.10472813069397818,-0.09978448218272916,0.03768435849939901,0.20148548988466983,-0.0023412799681835385,0.06945659967027974,19
2017_05_NE_TB,2017-10-05,2017,5,00-0019596,T.Brady,NE,TB,0.061702106,2.6531906,43,0.061702106,2.6531906,7.975985,0.53488374,30.0,9.0,1.0,1.0,3.0,289.0,6.2,248.0,130.0,6.0,0.0,43.0,43.0,30.0,0.6976744,6.72093,5.7674417,0.061702106,0.53488374,0.023255814,0.023255814,0.069767445,0.11031112852513925,2.2854614550245236,0.4649999285863559,-0.048609022377134714,0.069883808977731,-0.048609022377134714,0.04681593963766386,6.439206762938831,0.07305703423454984,-0.014886166510340674,-0.06349518888747538,0.17723855287613888,-0.0023412799681835385,0.06908016152606106,20
2017_06_NE_NYJ,2017-10-15,2017,6,00-0019596,T.Brady,NE,NYJ,0.33607328,12.770784,38,0.33607328,12.770784,-4.689409,0.42105263,20.0,17.0,1.0,2.0,0.0,257.0,12.631579,480.0,72.0,3.0,0.0,38.0,38.0,20.0,0.5263158,6.763158,12.631579,0.33607328,0.42105263,0.05263158,0.02631579,0.0,0.026422248938966497,0.4032017984561164,0.43670245467213087,0.30965103044183184,-0.015649819956096933,0.30965103044183184,0.22905741810551516,-3.934519547507455,-0.0031901956405947507,-0.10701586127528319,0.20263516916654867,0.17954147849427476,-0.0023412799681835385,0.06876762621067554,21
2017_07_ATL_NE,2017-10-22,2017,7,00-0019596,T.Brady,NE,ATL,0.45312753,14.046953,31,0.45312753,14.046953,5.386277,0.58064514,21.0,8.0,0.0,2.0,2.0,241.0,7.5172415,218.0,114.0,2.0,0.0,31.0,31.0,21.0,0.67741936,7.774194,7.032258,0.45312753,0.58064514,0.06451613,0.0,0.06451613,0.0884957239807522,1.7797758795483443,0.441065958527777,0.3646318092166507,0.13957918545797127,0.3646318092166507,0.41800095278711313,5.123771007576221,0.13430213263875757,-0.035126580410289834,0.3295052288063609,0.19303744400904513,-0.0023412799681835385,0.06850792915510434,22
2017_08_LAC_NE,2017-10-29,2017,8,00-0019596,T.Brady,NE,LAC,0.18242688,9.121345,50,0.18242688,9.121345,2.3736413,0.5,32.0,15.0,0.0,1.0,3.0,317.0,8.574468,403.0,166.0,5.0,0.0,50.0,50.0,32.0,0.64,6.34,8.06,0.18242688,0.5,0.02,0.0,0.06,0.016802819958801146,-0.7999979238958851,0.4304787334413748,0.16562406481159223,0.06952126655862523,0.16562406481159223,0.22110030663522318,5.717329506707486,0.09297957315791272,0.03867342186482982,0.20429748667642203,0.19404441174013612,-0.0023412799681835385,0.06829198953137312,23
2017_10_NE_DEN,2017-11-12,2017,10,00-0019596,T.Brady,NE,DEN,0.33926567,11.874299,35,0.33926567,11.874299,14.795512,0.6571429,25.0,9.0,0.0,3.0,1.0,260.0,9.088235,309.0,106.0,5.0,0.0,35.0,35.0,25.0,0.71428573,7.428571,8.828571,0.33926567,0.6571429,0.08571429,0.0,0.028571429,0.06724651729028643,-0.6073216454885654,0.45552207630084174,0.27201915706235946,0.2016208012778936,0.27201915706235946,0.37091920150970703,17.589137404709454,0.26572838932055837,0.03165352715706117,0.3036726842194206,0.203796779581602,-0.0023412799681835385,0.06811233329539737,24
2017_11_NE_OAK,2017-11-19,2017,11,00-0019596,T.Brady,NE,LV,0.51588994,19.603819,38,0.51588994,19.603819,17.162386,0.6052632,30.0,7.0,0.0,3.0,1.0,332.0,7.783784,288.0,134.0,4.0,0.0,38.0,38.0,30.0,0.7894737,8.736842,7.5789475,0.51588994,0.6052632,0.078947365,0.0,0.02631579,0.14603545313870184,2.2443033465843385,0.4712167243792102,0.3698544895073248,0.13404644920095948,0.3698544895073248,0.42582065604846747,16.830068502979035,0.1332314496825025,-0.09006928659755913,0.27978520290976566,0.21052694713055337,-0.0023412799681835385,0.06796279447467353,25
2017_12_MIA_NE,2017-11-26,2017,12,00-0019596,T.Brady,NE,MIA,0.29503068,8.55589,29,0.29503068,8.55589,2.6581671,0.44827586,18.0,9.0,1.0,4.0,1.0,221.0,8.071428,226.0,92.0,8.0,0.0,29.0,29.0,18.0,0.62068963,7.62069,7.793103,0.29503068,0.44827586,0.13793103,0.03448276,0.03448276,0.032944618232414596,-0.07383363801081291,0.45253000863611786,0.2620860650466229,-0.0042541445118197685,0.2620860650466229,0.16286735655241585,-1.1557674273916136,-0.040863452037902814,-0.13216332672662162,0.12992273832000129,0.2034141025800501,-0.0023412799681835385,0.0678382764524558,26
2017_13_NE_BUF,2017-12-03,2017,13,00-0019596,T.Brady,NE,BUF,0.37881798,12.500993,33,0.37881798,12.500993,5.2892785,0.57575756,21.0,8.0,1.0,0.0,3.0,244.0,8.133333,244.0,88.0,5.0,0.0,33.0,33.0,21.0,0.6363636,7.3939395,7.3939395,0.37881798,0.57575756,0.0,0.030303031,0.09090909,0.04994284198004698,-0.09068199296081372,0.4378815249372202,0.32887513354104064,0.13787603817694605,0.32887513354104064,0.3991168945866257,3.862101781606726,0.14229993934383234,0.020298919065538018,0.3491740526065787,0.2162372555738128,-0.0023412799681835385,0.06773455984160695,27
2017_14_NE_MIA,2017-12-11,2017,14,00-0019596,T.Brady,NE,MIA,-0.14905928,-6.707668,45,-0.14905928,-6.707668,-4.2021766,0.37777779,24.0,17.0,2.0,1.0,2.0,223.0,8.976745,386.0,132.0,6.0,0.0,45.0,45.0,24.0,0.53333336,4.9555554,8.577778,-0.14905928,0.37777779,0.022222223,0.044444446,0.044444446,0.04489755519907034,0.6794528725384563,0.4446068222279442,-0.19395683595220603,-0.06682903716515426,-0.19395683595220603,-0.2812226074797573,-8.016111122078502,-0.11136153109941099,-0.13216332672662162,-0.32612016267882765,0.16864531856253565,-0.0023412799681835385,0.06764814693501676,28
2017_15_NE_PIT,2017-12-17,2017,15,00-0019596,T.Brady,NE,PIT,0.19555053,7.43092,38,0.19555053,7.43092,2.7766304,0.47368422,22.0,12.0,1.0,1.0,2.0,285.0,10.057143,352.0,72.0,6.0,0.0,38.0,38.0,22.0,0.57894737,7.5,9.263158,0.19555053,0.47368422,0.02631579,0.02631579,0.05263158,0.037298750185377115,0.484677291723081,0.45017037947220695,0.1582517809635334,0.023513842033911825,0.1582517809635334,0.14488613754083185,0.9133016406417662,0.0028348656809437656,-0.05066439360807867,0.10758738735545473,0.16329887764542547,-0.0023412799681835385,0.0675761351427276,29
2017_16_BUF_NE,2017-12-24,2017,16,00-0019596,T.Brady,NE,BUF,0.09284156,2.7852468,30,0.09284156,2.7852468,8.165703,0.53333336,21.0,6.0,1.0,2.0,2.0,218.0,7.714286,216.0,118.0,2.0,0.0,30.0,30.0,21.0,0.7,7.266667,7.2,0.09284156,0.53333336,0.06666667,0.033333335,0.06666667,0.08170625350987883,1.0179976472896317,0.466557823780269,0.011135304648518848,0.06677553736856523,0.011135304648518848,0.11314047722393569,6.738526094198279,0.0998757373785003,0.020298919065538018,0.031434223714056866,0.151772860617924,-0.0023412799681835385,0.067516113586312,30
2017_17_NYJ_NE,2017-12-31,2017,17,00-0019596,T.Brady,NE,NYJ,-0.05637333,-2.19856,39,-0.05637333,-2.19856,-13.810358,0.43589744,18.0,19.0,0.0,2.0,2.0,178.0,9.027027,334.0,98.0,5.0,0.0,39.0,39.0,18.0,0.46153846,4.5641026,8.564102,-0.05637333,0.43589744,0.051282052,0.0,0.051282052,0.06102730823763739,-0.9394874962168334,0.4460659392573695,-0.11740063993343244,-0.010168499539123022,-0.11740063993343244,-0.16338919297107823,-13.055468815848519,0.011654609361617774,-0.10701586127528319,-0.22441650120871562,0.11893964418061269,-0.0023412799681835385,0.06746607832054127,31
2017_19_TEN_NE,2018-01-13,2017,19,00-0019596,T.Brady,NE,TEN,0.29495376,15.632549,53,0.29495376,15.632549,-0.4533995,0.5849057,35.0,18.0,0.0,3.0,0.0,337.0,6.6792455,354.0,187.0,4.0,0.0,53.0,53.0,35.0,0.6603774,6.3584905,6.6792455,0.29495376,0.5849057,0.056603774,0.0,0.0,0.07264825114472757,-0.334489725541371,0.4510350579250867,0.22230551234022727,0.13387062606920652,0.22230551234022727,0.19725515799678278,-4.953794292497644,0.1097214190862858,-0.09769860548817204,0.12460690685205522,0.11943366247138125,-0.0023412799681835385,0.0674243626258788,32
2017_20_JAX_NE,2018-01-21,2017,20,00-0019596,T.Brady,NE,JAX,0.21126308,8.661786,41,0.21126308,8.661786,7.475717,0.46341464,26.0,12.0,0.0,2.0,3.0,278.0,11.421053,434.0,91.0,7.0,0.0,41.0,41.0,26.0,0.63414633,6.780488,10.585366,0.21126308,0.46341464,0.048780486,0.0,0.07317073,0.02129819709275498,0.6727064855042149,0.4517087751484514,0.1899648783781694,0.011705864086091422,0.1899648783781694,0.1294540899755056,6.886588380528495,-0.020284623924052225,-0.08180898549541879,0.1081558928827506,0.11845158737502844,-0.0023412799681835385,0.06738957955448843,33
