player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0000865,C.Batch,2012,13,0.021784944804034,0.051091505465080005,17,244
00-0001361,D.Bledsoe,2006,7,-0.0146806171188771,0.052601732075447855,6,185
00-0001823,A.Brooks,2006,17,-0.0504997040411344,0.05078099679554449,7,216
00-0002110,M.Brunell,2011,15,-0.0129794969633951,0.048527299536743236,15,322
00-0003292,K.Collins,2011,3,-0.0017872657995336,0.03623994469388302,46,1263
00-0003315,T.Collins,2010,20,-0.0358556315025971,0.051913661947332324,11,225
00-0003739,D.Culpepper,2009,17,-0.0567643390507986,0.04089965107963636,24,658
00-0004161,J.Delhomme,2011,17,-0.0263350152171037,0.035976045337472826,50,1536
00-0004293,T.Dilfer,2007,14,-0.1087720097337944,0.049343626695800336,7,243
00-0005106,B.Favre,2010,15,0.0763732313714116,0.03558285600122761,81,2808
00-0005589,G.Frerotte,2008,14,-0.0537210441351987,0.042505641260036295,20,510
00-0005755,J.Garcia,2008,17,0.0724742635622469,0.03665247030750315,36,1040
00-0006355,T.Green,2008,12,-0.0218868430824422,0.0429560246639316,17,474
00-0006423,B.Griese,2008,15,-0.006785923462632,0.04139512153685504,17,500
00-0007091,M.Hasselbeck,2015,16,0.0050627684408986,0.03627010903997395,107,3545
00-0007835,D.Huard,2008,7,-0.0115058251310991,0.03989853629827165,26,720
00-0008442,B.Johnson,2008,9,-0.0692867364616768,0.04162899972907348,19,564
00-0009311,J.Kitna,2011,2,0.0221935973792398,0.03511309703706724,47,1753
00-0010346,P.Manning,2015,21,0.079321037453635,0.03420662060031946,156,5924
00-0011022,D.McNabb,2011,6,0.0128688252048066,0.03430750485365848,77,2769
00-0011024,S.McNair,2007,10,0.0234215135448101,0.038634741568508005,23,723
00-0013042,J.Plummer,2006,17,-0.0199372866065464,0.04646532878436566,12,334
00-0016193,V.Testaverde,2007,14,-0.0416097342372776,0.0526430545040559,7,185
00-0017200,K.Warner,2009,19,0.1459870788969718,0.034737334998170194,57,2007
00-0019559,C.Pennington,2010,10,0.0992985372754252,0.036589544626082736,47,1455
00-0019596,T.Brady,2022,19,0.0994951253965039,0.03185599138802778,292,11530
00-0019599,M.Bulger,2009,11,-0.0553962188525609,0.035381868853316664,52,1786
00-0019623,T.Rattay,2007,12,0.01478247116527,0.05746705005205679,8,132
00-0019709,C.Redman,2011,17,-0.0154250225313823,0.04815491301005952,14,317
00-0020245,M.Vick,2015,6,-0.0296157679751523,0.03746100353068775,78,2082
00-0020305,A.Feeley,2011,13,-0.0210054633096453,0.04920036611880139,9,252
00-0020434,C.Weinke,2007,17,-0.0650760434622108,0.05597501003976774,4,133
00-0020480,S.Rosenfels,2008,13,0.0994071125272482,0.042886343224422856,18,468
00-0020531,D.Brees,2020,19,0.1558485028014974,0.034437368250004236,245,9747
00-0020565,C.Lemon,2008,10,-0.0238162634724073,0.044149150015370626,13,402
00-0020608,D.Carr,2012,17,-0.0237680801609054,0.04456649551379601,33,694
00-0020613,Q.Gray,2008,12,0.0517479891388301,0.053453279741509784,9,185
00-0020679,S.Hill,2016,17,0.0249920968161734,0.03849217511414625,45,1303
00-0021141,J.Harrington,2007,13,-0.0399598199379531,0.038355379441343034,23,781
00-0021206,J.McCown,2019,18,-0.0005770140064528,0.03574808054095632,64,1955
00-0021231,D.Garrard,2010,16,0.056780974118607,0.03531010354224269,70,2192
00-0021296,J.O'Sullivan,2009,17,-0.085541949542773,0.04874288803157236,13,294
00-0021429,C.Palmer,2017,7,0.0726485346746891,0.033058216224441085,156,5777
00-0021678,T.Romo,2016,17,0.1454210676103895,0.03566017596547723,136,4787
00-0022005,C.Simms,2009,11,-0.1178053512559779,0.056617025580895715,6,134
00-0022026,B.Bollinger,2008,17,-0.0254347094992272,0.05995830292712511,8,100
00-0022055,S.Wallace,2013,10,-0.0205288950923463,0.041357052814131955,40,816
00-0022121,R.Grossman,2011,17,-0.0423863156917677,0.03471371556698015,48,1541
00-0022164,K.Boller,2011,7,-0.0848562016186556,0.042901947113894494,26,581
00-0022177,B.Leftwich,2012,11,-0.0376904588102445,0.04407559256417207,21,471
00-0022787,M.Schaub,2019,12,0.0660688361767547,0.03669940339047898,106,3460
00-0022803,E.Manning,2019,15,0.0107331750616551,0.03340777309813541,222,8137
00-0022864,L.McCown,2015,7,-0.0151624348073508,0.049993145294793165,15,281
00-0022912,J.Losman,2011,14,-0.0283976266309387,0.0397852183291898,30,795
00-0022924,B.Roethlisberger,2021,19,0.0232740837783521,0.03267864271617779,240,9061
00-0022942,P.Rivers,2025,17,0.1147253934738917,0.03403543840497725,255,9090
00-0023436,A.Smith,2020,17,0.0313049923966234,0.034309600685867796,172,5697
00-0023459,A.Rodgers,2025,19,0.0315727746113747,0.034298787750611535,283,10193
00-0023460,J.Campbell,2014,14,-0.001067833756606,0.037300427457761125,88,2680
00-0023502,C.Frye,2009,17,-0.0564923172207502,0.04103722871155897,18,566
00-0023504,A.Walter,2008,14,-0.1302213303780305,0.04532190267041974,15,382
00-0023541,K.Orton,2014,17,0.0349691915858649,0.03397346472427121,71,2478
00-0023578,D.Orlovsky,2015,8,0.0084217451450405,0.04249906690680397,21,521
00-0023645,D.Anderson,2018,8,-0.0665470997645306,0.03969632415866361,67,1754
00-0023662,M.Cassel,2018,16,-0.0772248954349446,0.037683265064203234,99,2872
00-0023682,R.Fitzpatrick,2021,1,0.0912401333047737,0.03518595267235207,159,5211
00-0024218,V.Young,2011,15,0.0294227422346514,0.03870430829305828,60,1413
00-0024225,M.Leinart,2012,16,-0.025271247532886,0.04366939236742481,32,672
00-0024226,J.Cutler,2017,17,0.0035607406816441,0.03500831533786937,155,5288
00-0024264,K.Clemens,2017,14,-0.0541419778297378,0.043161977755662446,37,701
00-0024279,T.Jackson,2015,17,0.0118424128608445,0.041508793598901424,56,1192
00-0024296,C.Whitehurst,2016,5,-0.0781122286957282,0.045000683030501885,20,434
00-0024300,B.Croyle,2010,16,-0.0846940515946434,0.04759782631882888,17,343
00-0024408,B.Gradkowski,2014,18,-0.1017884131955471,0.04155826193425081,35,760
00-0024812,T.Palko,2011,14,-0.04270390893546,0.05505341530591903,8,151
00-0025388,J.Russell,2009,17,-0.1418462604099843,0.04051469922091487,31,748
00-0025409,B.Quinn,2012,17,-0.1255863756189772,0.04173240277112738,24,591
00-0025423,K.Kolb,2012,6,-0.0345608488345659,0.03754666867824228,29,830
00-0025427,J.Beck,2011,9,-0.0670886758895127,0.048378328908912305,9,265
00-0025430,D.Stanton,2017,17,-0.0736125313048724,0.041428856023631645,36,695
00-0025479,T.Edwards,2012,17,-0.0474237402191932,0.03878840733727282,37,994
00-0025561,T.Smith,2010,16,-0.0351029519217838,0.05027272293899645,16,257
00-0025604,T.Thigpen,2012,15,-0.0301950945219132,0.043575562476261855,23,543
00-0025708,M.Moore,2019,9,0.0273823506501843,0.03773613820370998,52,1201
00-0025970,C.Hanie,2011,15,-0.1198376456660134,0.05512386698116978,9,154
00-0026143,M.Ryan,2022,15,0.0390398717180874,0.03325130519543857,244,9332
00-0026158,J.Flacco,2025,17,-0.0165582183254829,0.034273864243335624,223,8104
00-0026197,C.Henne,2022,20,-0.0182228072040454,0.03834893858925433,71,2179
00-0026300,J.Johnson,2025,18,0.0024850394142519,0.046690321121264526,32,459
00-0026349,M.Flynn,2014,17,-0.0286894024341705,0.04754566016295914,29,399
00-0026498,M.Stafford,2025,21,0.1365050207484579,0.03361495242392588,252,9809
00-0026544,C.Daniel,2022,18,-0.0179277545336256,0.05047217109617041,24,300
00-0026625,B.Hoyer,2023,7,-0.0232320229245018,0.038882168568360485,62,1688
00-0026898,M.Sanchez,2018,14,-0.0411568911533751,0.03567123626065405,83,2642
00-0026993,Jo.Freeman,2015,17,-0.0214500689547742,0.03366892044372228,62,2162
00-0027131,K.Null,2009,17,-0.0829569038025234,0.05606813156419697,4,131
00-0027134,C.Painter,2013,17,-0.114635072850964,0.04828244393557145,14,308
00-0027253,T.Lewis,2013,17,0.0016481037443921,0.05093626094369904,6,210
00-0027659,J.Clausen,2015,15,-0.1287635063706111,0.04228117226032765,21,514
