season,week,receiver_player_id,receiver_player_name,team,opponent,targets,receptions,yards,touchdowns,first_downs,total_yac_epa,raw_composite,smoothed_composite,composite_uncertainty,career_game_number
2020,1,00-0022921,L.Fitzgerald,ARI,SF,5.0,4.0,34.0,0.0,2.0,2.0305585861206055,0.2717849943719159,0.2717849943719159,1.0,0
2020,2,00-0022921,L.Fitzgerald,ARI,WAS,7.0,7.0,50.0,0.0,4.0,3.264909267425537,1.0364426983363344,0.730579616750567,0.7071067811865475,1
2020,3,00-0022921,L.Fitzgerald,ARI,DET,3.0,1.0,0.0,0.0,0.0,-7.212413787841797,-0.8889487531859789,-0.03656540058779671,0.5773502691896258,2
2020,4,00-0022921,L.Fitzgerald,ARI,CAR,3.0,2.0,4.0,0.0,0.0,-2.205216884613037,-0.5444769484799499,-0.2475440435583834,0.5,3
2020,5,00-0022921,L.Fitzgerald,ARI,NYJ,7.0,4.0,35.0,0.0,2.0,-1.7318665981292725,0.2285771354065716,-0.06476766679932486,0.4472135954999579,4
2020,6,00-0022921,L.Fitzgerald,ARI,DAL,4.0,3.0,22.0,0.0,2.0,-0.2692856788635254,-0.010225128609102279,-0.044837085174927745,0.4082482904638631,5
2020,7,00-0022921,L.Fitzgerald,ARI,SEA,8.0,8.0,62.0,0.0,2.0,1.8356349468231201,0.8637853085508681,0.276865549611913,0.3779644730092272,6
2020,9,00-0022921,L.Fitzgerald,ARI,MIA,5.0,4.0,54.0,0.0,4.0,-0.9013934135437012,0.3970212286049295,0.3185436574561203,0.35355339059327373,7
2020,10,00-0022921,L.Fitzgerald,ARI,BUF,5.0,2.0,13.0,0.0,1.0,-12.36131763458252,-0.7687720147872276,-0.053574548458469685,0.3333333333333333,8
2020,11,00-0022921,L.Fitzgerald,ARI,SEA,10.0,8.0,62.0,0.0,3.0,2.163947343826294,1.1580095378247015,0.35741398355896514,0.31622776601683794,9
2020,14,00-0022921,L.Fitzgerald,ARI,NYG,3.0,2.0,10.0,0.0,1.0,-0.17555415630340576,-0.3089778025911746,0.1326852953289947,0.30151134457776363,10
2020,15,00-0022921,L.Fitzgerald,ARI,PHI,4.0,3.0,35.0,1.0,3.0,-3.3404035568237305,-0.026991238753328928,0.07904637017927038,0.2886751345948129,11
2020,16,00-0022921,L.Fitzgerald,ARI,SF,8.0,6.0,28.0,0.0,1.0,-0.0019412040710449219,0.44411634886647067,0.20136486376113996,0.2773500981126146,12
2020,1,00-0030564,D.Hopkins,ARI,SF,16.0,14.0,151.0,0.0,8.0,3.8410253524780273,2.9261614019070197,2.9261614019070197,1.0,0
2020,2,00-0030564,D.Hopkins,ARI,WAS,9.0,8.0,68.0,1.0,5.0,5.043020725250244,1.499203332071179,2.0699865600055154,0.7071067811865475,1
2020,3,00-0030564,D.Hopkins,ARI,DET,12.0,10.0,137.0,0.0,8.0,-2.654658555984497,1.9318353152355265,2.0045464966934152,0.5773502691896258,2
